week,city,new_customers,revenue,contribution_margin
2025-05-12,Stuttgart,296,75637.97,0.485
2025-05-19,Stuttgart,309,84674.03,0.485
2025-05-26,Stuttgart,293,79442.27,0.485
2025-06-02,Stuttgart,309,86708.2,0.485
2025-06-09,Stuttgart,298,78715.55,0.485
2025-06-16,Stuttgart,279,72970.52,0.485
2025-06-23,Stuttgart,301,87493.75,0.485
2025-06-30,Stuttgart,295,79779.07,0.485
2025-07-07,Stuttgart,266,73960.62,0.485
2025-07-14,Stuttgart,317,92163.12,0.485
2025-07-21,Stuttgart,298,79643.11,0.485
2025-07-28,Stuttgart,279,72711.15,0.485
2025-08-04,Stuttgart,295,78493.06,0.485
2025-08-11,Stuttgart,272,71859.29,0.485
2025-08-18,Stuttgart,321,86154.74,0.485
2025-08-25,Stuttgart,297,81280.68,0.485
2025-09-01,Stuttgart,294,82813.96,0.485
2025-09-08,Stuttgart,263,72659.34,0.485
2025-09-15,Stuttgart,285,76426.61,0.485
2025-09-22,Stuttgart,287,83084.13,0.485
2025-09-29,Stuttgart,284,77842.5,0.485
2025-10-06,Stuttgart,298,81082.88,0.485
2025-10-13,Stuttgart,246,67658.57,0.485
2025-10-20,Stuttgart,278,76909.21,0.485
2025-10-27,Stuttgart,303,83813.28,0.485
2025-11-03,Stuttgart,259,69069.9,0.485
2025-11-10,Stuttgart,276,79191.04,0.485
2025-11-17,Stuttgart,258,65173.48,0.485
2025-11-24,Stuttgart,267,76843.44,0.485
2025-12-01,Stuttgart,238,60104.82,0.485
2025-12-08,Stuttgart,273,71430.65,0.485
2025-12-15,Stuttgart,259,69009.82,0.485
2025-12-22,Stuttgart,265,67168.62,0.485
